paper_id,day,title,authors_short,keyword_hits,paper_page,pdf
3462,2026-06-07,4DWorldBench: A Comprehensive Evaluation Framework for 3D/4D World Generation Models,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Lu_4DWorldBench_A_Comprehensive_Evaluation_Framework_for_3D4D_World_Generation_Models_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Lu_4DWorldBench_A_Comprehensive_Evaluation_Framework_for_3D4D_World_Generation_Models_CVPR_2026_paper.pdf
3469,2026-06-07,HiDRA: Hierarchical Degradation Representation and Adaptation with Generative Priors for Enhancing Infrared Vision,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Chen_HiDRA_Hierarchical_Degradation_Representation_and_Adaptation_with_Generative_Priors_for_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_HiDRA_Hierarchical_Degradation_Representation_and_Adaptation_with_Generative_Priors_for_CVPR_2026_paper.pdf
3472,2026-06-07,Towards Highly-Constrained Human Motion Generation with Retrieval-Guided Diffusion Noise Optimization,"Hanchao Liu, Fang-Lue Zhang, Shining Zhang et al.",diffusion; generative,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_Towards_Highly-Constrained_Human_Motion_Generation_with_Retrieval-Guided_Diffusion_Noise_Optimization_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_Towards_Highly-Constrained_Human_Motion_Generation_with_Retrieval-Guided_Diffusion_Noise_Optimization_CVPR_2026_paper.pdf
3473,2026-06-07,CTCal: Rethinking Text-to-Image Diffusion Models via Cross-Timestep Self-Calibration,"Xiefan Guo, Xinzhu Ma, Haiyu Zhang et al.",diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Guo_CTCal_Rethinking_Text-to-Image_Diffusion_Models_via_Cross-Timestep_Self-Calibration_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Guo_CTCal_Rethinking_Text-to-Image_Diffusion_Models_via_Cross-Timestep_Self-Calibration_CVPR_2026_paper.pdf
3474,2026-06-07,StereoWorld: Geometry-Aware Monocular-to-Stereo Video Generation,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Xing_StereoWorld_Geometry-Aware_Monocular-to-Stereo_Video_Generation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Xing_StereoWorld_Geometry-Aware_Monocular-to-Stereo_Video_Generation_CVPR_2026_paper.pdf
3478,2026-06-07,Vision Foundation Models Can Be Good Tokenizers for Latent Diffusion Models,"Tianci Bi, Xiaoyi Zhang, Yan Lu et al.",diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Bi_Vision_Foundation_Models_Can_Be_Good_Tokenizers_for_Latent_Diffusion_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Bi_Vision_Foundation_Models_Can_Be_Good_Tokenizers_for_Latent_Diffusion_CVPR_2026_paper.pdf
3479,2026-06-07,EVLF: Early Vision-Language Fusion for Generative Dataset Distillation,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Cai_EVLF_Early_Vision-Language_Fusion_for_Generative_Dataset_Distillation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Cai_EVLF_Early_Vision-Language_Fusion_for_Generative_Dataset_Distillation_CVPR_2026_paper.pdf
3484,2026-06-07,TM-BSN: Triangular-Masked Blind-Spot Network for Real-World Self-Supervised Image Denoising,,denoise,https://openaccess.thecvf.com/content/CVPR2026/html/Park_TM-BSN_Triangular-Masked_Blind-Spot_Network_for_Real-World_Self-Supervised_Image_Denoising_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Park_TM-BSN_Triangular-Masked_Blind-Spot_Network_for_Real-World_Self-Supervised_Image_Denoising_CVPR_2026_paper.pdf
3489,2026-06-07,Phased DMD: Few-step Distribution Matching Distillation via Score Matching within Subintervals,,score,https://openaccess.thecvf.com/content/CVPR2026/html/Fan_Phased_DMD_Few-step_Distribution_Matching_Distillation_via_Score_Matching_within_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Fan_Phased_DMD_Few-step_Distribution_Matching_Distillation_via_Score_Matching_within_CVPR_2026_paper.pdf
3494,2026-06-07,IP-Adapter Is All You Need: Towards Fine-Tuning-Free Diffusion-Based Talking Face Generation,"Hao Wu, Xiangyang Luo, Hao Wang et al.",diffusion; generative,https://openaccess.thecvf.com/content/CVPR2026/html/Wu_IP-Adapter_Is_All_You_Need_Towards_Fine-Tuning-Free_Diffusion-Based_Talking_Face_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_IP-Adapter_Is_All_You_Need_Towards_Fine-Tuning-Free_Diffusion-Based_Talking_Face_CVPR_2026_paper.pdf
