paper_id,day,title,authors_short,task_cluster,modality,method_family,relevance_tier,keyword_hits,paper_page,pdf
2795,2026-06-07,PLACID: Identity-Preserving Multi-Object Compositing via Video Diffusion with Synthetic Trajectories,"Gemma Canet Tarrés, Manel Baradad, Francesc Moreno-Noguer et al.",科学、医学与特殊传感,科学/医学/特殊传感,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Tarres_PLACID_Identity-Preserving_Multi-Object_Compositing_via_Video_Diffusion_with_Synthetic_Trajectories_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Tarres_PLACID_Identity-Preserving_Multi-Object_Compositing_via_Video_Diffusion_with_Synthetic_Trajectories_CVPR_2026_paper.pdf
2817,2026-06-07,ReHyAt: Recurrent Hybrid Attention for Video Diffusion Transformers,"Mohsen Ghafoorian, Amirhossein Habibian",视频、音频与时序生成,视频,Diffusion Transformer,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Ghafoorian_ReHyAt_Recurrent_Hybrid_Attention_for_Video_Diffusion_Transformers_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Ghafoorian_ReHyAt_Recurrent_Hybrid_Attention_for_Video_Diffusion_Transformers_CVPR_2026_paper.pdf
2823,2026-06-07,"PixelRush: Ultra-Fast, Training-Free High-Resolution Image Generation via One-step Diffusion","Hong-Phuc Lai, Phong Nguyen, Anh Tran",效率、训练与压缩,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion; generative,https://openaccess.thecvf.com/content/CVPR2026/html/Lai_PixelRush_Ultra-Fast_Training-Free_High-Resolution_Image_Generation_via_One-step_Diffusion_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Lai_PixelRush_Ultra-Fast_Training-Free_High-Resolution_Image_Generation_via_One-step_Diffusion_CVPR_2026_paper.pdf
2825,2026-06-07,It's Never Too Late: Noise Optimization for Collapse Recovery in Trained Diffusion Models,"Anne Harrington, A. Sophia Koepke, Shyamgopal Karthik et al.",图像恢复、低层视觉与逆问题,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Harrington_Its_Never_Too_Late_Noise_Optimization_for_Collapse_Recovery_in_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Harrington_Its_Never_Too_Late_Noise_Optimization_for_Collapse_Recovery_in_CVPR_2026_paper.pdf
2836,2026-06-07,Mitigating The Distribution Shift of Diffusion-based Dataset Distillation,"Yue Xu, Chenyu Hu, Pengyu An et al.",效率、训练与压缩,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Xu_Mitigating_The_Distribution_Shift_of_Diffusion-based_Dataset_Distillation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_Mitigating_The_Distribution_Shift_of_Diffusion-based_Dataset_Distillation_CVPR_2026_paper.pdf
2852,2026-06-07,Semantics Lead the Way: Harmonizing Semantic and Texture Modeling with Asynchronous Latent Diffusion,"Yueming Pan, Ruoyu Feng, Qi Dai et al.",图像恢复、低层视觉与逆问题,图像,Latent Diffusion,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Pan_Semantics_Lead_the_Way_Harmonizing_Semantic_and_Texture_Modeling_with_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Pan_Semantics_Lead_the_Way_Harmonizing_Semantic_and_Texture_Modeling_with_CVPR_2026_paper.pdf
2861,2026-06-07,Diffusion Probe: Generated Image Result Prediction Using CNN Probes,"Bukun Huang, Benlei Cui, Zhizeng Ye et al.",图像恢复、低层视觉与逆问题,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Huang_Diffusion_Probe_Generated_Image_Result_Prediction_Using_CNN_Probes_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Huang_Diffusion_Probe_Generated_Image_Result_Prediction_Using_CNN_Probes_CVPR_2026_paper.pdf
2862,2026-06-07,Cross-modal Representation Learning for Diffusion-generated Image Detection,"Tao Gong, Dayong Wang, Qi Chu et al.",图像恢复、低层视觉与逆问题,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Gong_Cross-modal_Representation_Learning_for_Diffusion-generated_Image_Detection_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Gong_Cross-modal_Representation_Learning_for_Diffusion-generated_Image_Detection_CVPR_2026_paper.pdf
2890,2026-06-07,CADC: Content Adaptive Diffusion-Based Generative Image Compression,"Xihua Sheng, Lingyu Zhu, Tianyu Zhang et al.",图像恢复、低层视觉与逆问题,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion; generative,https://openaccess.thecvf.com/content/CVPR2026/html/Sheng_CADC_Content_Adaptive_Diffusion-Based_Generative_Image_Compression_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Sheng_CADC_Content_Adaptive_Diffusion-Based_Generative_Image_Compression_CVPR_2026_paper.pdf
2895,2026-06-07,BoostSLT: Boosting Sign Language Translation via a Plug-and-Play Diffusion-Based Semantic Enhancer,"Changzhou Han, Wanlun Ma, Xi Tang et al.",对齐、安全与可控生成,多模态/VLM,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Han_BoostSLT_Boosting_Sign_Language_Translation_via_a_Plug-and-Play_Diffusion-Based_Semantic_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Han_BoostSLT_Boosting_Sign_Language_Translation_via_a_Plug-and-Play_Diffusion-Based_Semantic_CVPR_2026_paper.pdf
